model-1577167384,1577167904.023,0.53,0.2499,0.66,0.2244
model-1577167384,1577167904.545,0.56,0.248,0.5,0.2498
model-1577167384,1577167905.098,0.48,0.2512,0.56,0.2483
model-1577167384,1577167905.725,0.57,0.2482,0.41,0.2626
model-1577167384,1577167906.402,0.44,0.26,0.41,0.2567
model-1577167384,1577167906.984,0.46,0.253,0.5,0.2502
model-1577167384,1577167907.575,0.5,0.2502,0.53,0.2496
model-1577167384,1577167908.139,0.47,0.2504,0.53,0.25
model-1577167384,1577167908.742,0.4,0.25,0.59,0.2497
model-1577167384,1577167909.3,0.56,0.2497,0.69,0.2482
model-1577167384,1577167909.944,0.53,0.2497,0.41,0.2518
model-1577167384,1577167910.661,0.49,0.2498,0.5,0.2494
model-1577167384,1577167911.474,0.49,0.2499,0.44,0.2515
model-1577167384,1577167912.122,0.44,0.251,0.44,0.2506
model-1577167384,1577167912.7,0.47,0.251,0.38,0.2508
model-1577167384,1577167913.64,0.51,0.2501,0.5,0.25
model-1577167384,1577167914.323,0.6,0.2491,0.59,0.2483
model-1577167384,1577167914.883,0.58,0.2485,0.44,0.2527
model-1577167384,1577167915.429,0.48,0.2512,0.62,0.2448
model-1577167384,1577167916.11,0.47,0.2522,0.72,0.24
model-1577167384,1577167916.676,0.41,0.255,0.72,0.2434
model-1577167384,1577167917.341,0.48,0.2511,0.62,0.2479
model-1577167384,1577167917.968,0.48,0.2504,0.5,0.2504
model-1577167384,1577167918.776,0.6,0.2495,0.56,0.2503
model-1577167384,1577167919.392,0.55,0.2498,0.38,0.2504
model-1577167384,1577167919.951,0.63,0.2496,0.66,0.2491
model-1577167384,1577167920.52,0.44,0.2499,0.62,0.249
model-1577167384,1577167921.116,0.43,0.2504,0.59,0.2492
model-1577167384,1577167921.692,0.5,0.2498,0.5,0.2505
model-1577167384,1577167922.26,0.47,0.25,0.69,0.2485
model-1577167384,1577167922.955,0.47,0.2501,0.53,0.2498
model-1577167384,1577167923.582,0.53,0.2502,0.44,0.2514
